word,frequency
good,40
iphone,31
camera,30
phone,30
best,26
great,23
product,23
awesome,20
super,20
performance,18
battery,17
purchase,15
terrific,15
quality,13
love,11
also,11
wow,10
perfect,10
amazing,10
display,9
excellent,9
fabulous,9
apple,9
buy,9
experience,8
nice,8
wonderful,8
premium,7
design,7
like,7
everything,6
feel,6
recommended,6
highly,6
go,6
mindblowing,6
loved,6
android,6
colour,6
market,6
worth,6
value,5
backup,5
really,5
need,5
flipkart,5
samsung,5
overall,5
issue,5
pixel,4
better,4
always,4
must,4
smooth,4
one,4
much,4
brilliant,4
feature,4
look,4
got,4
upgraded,4
photo,4
beautiful,3
device,3
price,3
heating,3
editing,3
every,3
say,3
bit,3
ai,3
thank,3
time,3
compact,3
intelligence,3
first,3
pro,3
notch,3
usage,3
top,3
normal,3
even,3
teal,3
get,3
penny,3
bought,3
difference,3
model,2
previous,2
oneplus,2
color,2
upgrade,2
nothing,2
still,2
moderate,2
hand,2
button,2
simply,2
longer,2
ok,2
choice,2
disappointed,2
literally,2
day,2
last,2
thing,2
delivered,2
yet,2
ordered,2
bad,2
considering,2
software,2
became,2
without,2
o,2
build,2
mobile,2
range,2
brand,2
sound,2
would,2
new,2
buying,2
except,2
ui,2
charging,2
used,2
deal,2
dont,2
zoom,2
im,2
using,2
absolutely,2
finally,2
offer,2
iphones,2
think,2
fantastic,2
ultramarine,2
life,2
switched,2
period,2
received,2
money,2
pretty,1
cool,1
satisfied,1
may,1
min,1
yr,1
replacement,1
easily,1
exceeds,1
high,1
initial,1
cost,1
miss,1
boaring,1
google,1
wonder,1
far,1
bett,1
classy,1
via,1
work,1
justt,1
complaint,1
bbb,1
difficult,1
tusk,1
solely,1
assuming,1
disappointment,1
plus,1
offered,1
screen,1
excellen,1
clear,1
solid,1
especially,1
photography,1
lowlight,1
shot,1
horrible,1
drain,1
hr,1
us,1
frustrated,1
safe,1
missing,1
telephoto,1
lens,1
however,1
lossless,1
switching,1
androidits,1
wife,1
crazy,1
haptics,1
concerned,1
image,1
bank,1
resolution,1
fast,1
charger,1
designcamera,1
recently,1
changed,1
seems,1
sasa,1
lele,1
sale,1
observed,1
transferring,1
data,1
overheating,1
hesitation,1
blue,1
sooo,1
enough,1
mind,1
blowing,1
picture,1
impressive,1
con,1
mark,1
justice,1
variant,1
definitely,1
thi,1
cell,1
aspect,1
outstanding,1
recommend,1
body,1
series,1
doubt,1
xr,1
since,1
know,1
compare,1
version,1
lovely,1
inhand,1
protect,1
lt,1
satisfaction,1
user,1
year,1
secondary,1
job,1
honestly,1
beat,1
freedom,1
fancy,1
paperweight,1
wonderfully,1
lightweight,1
stuff,1
purchasing,1
improved,1
speaker,1
seamless,1
incredibly,1
cozy,1
use,1
delightful,1
fine,1
lasting,1
felt,1
useless,1
awesomeloved,1
fell,1
placement,1
videography,1
interested,1
little,1
samsumg,1
fake,1
detail,1
havent,1
showing,1
jad,1
id,1
already,1
request,1
ekart,1
wrong,1
check,1
priority,1
segment,1
powered,1
function,1
next,1
level,1
fone,1
mom,1
absolute,1
beauty,1
charge,1
pic,1
take,1
uhh,1
dslr,1
io,1
almost,1
gaming,1
installing,1
ipad,1
hot,1
operation,1
update,1
gradually,1
although,1
match,1
megapixel,1
upgrading,1
mini,1
usual,1
form,1
factor,1
downside,1
available,1
small,1
handy,1
light,1
weight,1
wise,1
major,1
noticed,1
per,1
clarity,1
dynamic,1
island,1
redirect,1
quickly,1
loving,1
utterly,1
phn,1
soap,1
people,1
problem,1
scratch,1
batte,1
genuine,1
seller,1
ever,1
unbeatable,1
video,1
tiptop,1
chip,1
offering,1
easy,1
carry,1
improve,1
short,1
cut,1
open,1
single,1
click,1
fe,1
productjust,1
thanks,1
glad,1
bug,1
fixed,1
size,1
outdated,1
smoother,1
slower,1
speed,1
cant,1
complain,1
cheaper,1
c,1
previously,1
ultra,1
vivo,1
confused,1
v,1
alternative,1
priorties,1
ar,1
superb,1
powerful,1
stylish,1
smartphone,1
toptier,1
want,1
reliability,1
everyday,1
